# irc #jbosnu 2010-08-20 tz=unknown source=jbosnu/2010_08/2010_08_20-02_21.txt format=undated
--:--:-- -- Connected.
--:--:-- <kornbluth.freenode.net> *** Notice -- TS for #jbosnu changed from 1282209720 to 1264760553
--:--:-- -- ChanServ has joined.
--:--:-- -- ChanServ has left the channel.
--:--:-- -- Ttt222 is now known as Guest73562.
--:--:-- -- bandu is now known as tama.
--:--:-- -- coyo_ is now known as leere.
--:--:-- -- coyo is now known as sleepingyote.
--:--:-- -- leere is now known as coyo.
--:--:-- -- coyo is now known as leere.
--:--:-- -- sleepingyote is now known as coyo.
--:--:-- -- cilnaj[cikre-vla is now known as cilnaj.
--:--:-- -- rpglover74 is now known as rpglover64.
--:--:-- -- cilnaj is now known as cilnaj[terxra].
--:--:-- -- cilnaj[terxra] is now known as cilnaj.
--:--:-- -- cirzgamanti`` is now known as cirzgamanti.
--:--:-- -- Modd_sipna is now known as Moddington.
--:--:-- -- Guest73562 is now known as Tootoot222.
--:--:-- -- Tootoot222 is now known as Guest56890.
--:--:-- -- Ttt222 is now known as Tootoot222.
--:--:-- -- eternale1e is now known as eternaleye.
--:--:-- -- 14WAA3OEL is now known as Tene.
--:--:-- -- 64MAACNVL is now known as bur.
--:--:-- -- timonato1 is now known as timonator.
--:--:-- -- Moddington is now known as Modd_tinkering.
--:--:-- -- Modd_tinkering is now known as Moddington.
--:--:-- -- em is now known as emma.
--:--:-- -- coyO is now known as coyo.
--:--:-- -- emma is now known as em.
--:--:-- -- coyo_ is now known as leere.
--:--:-- -- Moddington is now known as Modd_sipna.
--:--:-- -- cilnaj is now known as cilnaj[surla].
--:--:-- -- cilnaj[surla] is now known as cilnaj.
--:--:-- -- Disconnected.
